# Date, Artifact, Family

2022-08-29,george-pressing[.]at[.]playit[.]gg,playit[.]gg
2022-08-29,209.25.140[.]180,209.25.140[.]0/22
2022-08-29,79.134.225[.]18,79.134.225[.]0/24
2022-08-29,kasawulli845[.]ddns[.]net,ddns[.]net
2022-08-29,109.206.241[.]128,109.206.241[.]0/24
2022-08-29,louinc928[.]gotdns[.]ch,gotdns[.]ch
2022-08-29,208.67.105[.]178,208.67.104[.]0/22
2022-08-29,tzitziklishop[.]ddns[.]net,ddns[.]net
2022-08-29,107.182.129[.]61,107.182.128[.]0/22
2022-08-29,katiebrady616[.]ddns[.]net,ddns[.]net
2022-08-29,104.144.69[.]130,104.144.0[.]0/16
2022-08-29,brewsterchristophe[.]ddns[.]net,ddns[.]net
2022-08-29,109.206.241[.]195,109.206.241[.]0/24
2022-08-28,godisgood1[.]hopto[.]org,hopto[.]org
2022-08-28,185.225.73[.]164,185.225.73[.]0/24
2022-08-28,chinomso[.]duckdns[.]org,duckdns[.]org
2022-08-28,160.152.158[.]126,160.152.0[.]0/16
2022-08-28,iyhto[.]ddns[.]net,ddns[.]net
2022-08-28,194.5.98[.]12,194.5.98[.]0/24
2022-08-28,justinalwhitedd554[.]duckdns[.]org,duckdns[.]org
2022-08-28,103.153.77[.]119,103.153.76[.]0/23
2022-08-28,jasonbourne[.]bounceme[.]net,bounceme[.]net
2022-08-28,195.178.120[.]227,195.178.120[.]0/24
2022-08-28,whisher[.]no-ip[.]org,no-ip[.]org
2022-08-28,216.244.221[.]110,216.244.128[.]0/17
2022-08-28,franexserver[.]webhop[.]me,webhop[.]me
2022-08-28,femolampa[.]tk,femolampa[.]tk
2022-08-28,192.169.69[.]25,192.169.68[.]0/22
2022-08-28,kgentle777[.]hopto[.]org,hopto[.]org
2022-08-28,2[.]tcp[.]ngrok[.]io,ngrok[.]io
2022-08-28,3.131.207[.]170,3.128.0[.]0/9
2022-08-28,microsoft1337[.]ddns[.]net,ddns[.]net
2022-08-28,192.158.232[.]67,192.158.224[.]0/20
2022-08-24,amegroupofschoos32[.]sytes[.]net,sytes[.]net
2022-08-24,37.139.129[.]91,37.139.129[.]0/24
2022-08-24,chery[.]hopto[.]org,hopto[.]org
2022-08-24,195.242.110[.]7,195.242.110[.]0/23
2022-08-23,deranano[.]hopto[.]org,hopto[.]org
2022-08-23,ayranger[.]ddns[.]net,ddns[.]net
2022-08-23,198.20.177[.]159,198.20.160[.]0/19
2022-08-23,79.134.225[.]30,79.134.225[.]0/24
2022-08-23,france-barely[.]at[.]playit[.]gg,playit[.]gg
2022-08-20,interest-border[.]at[.]playit[.]gg,playit[.]gg
2022-08-18,putha[.]duckdns[.]org,duckdns[.]org
2022-08-18,warzonecdt[.]duckdns[.]org,duckdns[.]org
2022-08-18,192.169.69[.]26,192.169.68[.]0/22
2022-08-17,gluer[.]ddns[.]net,ddns[.]net
2022-08-17,129.205.124[.]147,129.205.0[.]0/16
2022-08-16,mup830634[.]duckdns[.]org,duckdns[.]org
2022-08-16,103.151.123[.]194,103.151.122[.]0/23
2022-08-16,brightnano1[.]ddns[.]net,ddns[.]net
2022-08-16,171.22.30[.]97,171.22.30[.]0/24
2022-08-16,kingsley2022[.]bounceme[.]net,bounceme[.]net
2022-08-15,93.114.128[.]20,93.114.128[.]0/24
2022-08-15,manaheart[.]ddns[.]net,ddns[.]net
2022-08-15,65.92.124[.]154,65.92.0[.]0/14
2022-08-15,derananocore[.]ddns[.]net,ddns[.]net
2022-08-15,xp230522[.]ddns[.]net,ddns[.]net
2022-08-15,185.225.73[.]187,185.225.73[.]0/24
2022-08-15,37.0.14[.]203,37.0.12[.]0/22
2022-08-15,express104[.]ddns[.]net,ddns[.]net
2022-08-15,197.211.61[.]55,197.211.61[.]0/24
2022-08-15,windowsii[.]duckdns[.]org,duckdns[.]org
2022-08-15,177.75.89[.]26,177.75.80[.]0/20
2022-08-15,kjjuigfdullygigyftkuyluylygilyfidyyuljhd[.]ydns[.]eu,ydns[.]eu
2022-08-15,107.182.129[.]248,107.182.128[.]0/22
2022-08-09,timmy06[.]ddns[.]net,ddns[.]net
2022-08-09,213.152.187[.]220,213.152.186[.]0/23
2022-08-08,susyamog458dhref34[.]ddns[.]net,ddns[.]net
2022-08-08,88.245.84[.]247,88.245.0[.]0/16
2022-08-08,asynclevel[.]ddns[.]net,ddns[.]net
2022-08-08,profrtgroupnaniio[.]duckdns[.]org,duckdns[.]org
2022-08-08,79.134.225[.]119,79.134.225[.]0/24
2022-08-08,cosrem[.]ddnsgeek[.]com,ddnsgeek[.]com
2022-08-08,141.98.6[.]123,141.98.6[.]0/24
2022-08-08,ziggynas10[.]ddns[.]net,ddns[.]net
2022-08-08,194.5.98[.]84,194.5.98[.]0/24
2022-08-08,lucky001[.]duckdns[.]org,duckdns[.]org
2022-08-08,105.112.168[.]145,105.112.0[.]0/12
2022-08-08,pm2bitcoin[.]com,pm2bitcoin[.]com
2022-08-08,91.193.75[.]231,91.193.75[.]0/24
2022-08-06,dendy39[.]duckdns[.]org,duckdns[.]org
2022-08-06,79.134.225[.]53,79.134.225[.]0/24
2022-08-06,trustedvpnconnection[.]anondns[.]net,anondns[.]net
2022-08-06,107.150.23[.]184,107.150.0[.]0/19
2022-08-04,igxchange[.]ddns[.]net,ddns[.]net
2022-08-04,103.153.78[.]76,103.153.78[.]0/23
2022-08-04,shahzad73[.]casacam[.]net,casacam[.]net
2022-08-04,shahzad73[.]ddns[.]net,ddns[.]net
2022-08-04,105.112.167[.]16,105.112.0[.]0/12
2022-08-04,194.147.140[.]9,194.147.140[.]0/24
2022-08-01,office365update[.]duckdns[.]org,duckdns[.]org
2022-08-01,alizuhohostnation[.]duckdns[.]org,duckdns[.]org
2022-08-01,79.134.225[.]48,79.134.225[.]0/24
2022-08-01,cloudupdates[.]ddns[.]net,ddns[.]net
2022-08-01,cdn[.]discordapp[.]com,discordapp[.]com
2022-08-01,slava3257[.]hopto[.]org,hopto[.]org
2022-08-01,162.159.129[.]233,162.158.0[.]0/15
2022-08-01,162.159.130[.]233,162.158.0[.]0/15
2022-08-01,163.123.143[.]235,163.0.0[.]0/8
2022-08-01,drostdyhoffpvt[.]duckdns[.]org,duckdns[.]org
2022-08-01,eu-central-7075[.]packetriot[.]net,packetriot[.]net
2022-08-01,167.71.56[.]116,167.71.0[.]0/16
2022-08-01,mamarita10005[.]ddns[.]net,ddns[.]net
2022-08-01,makeke[.]ddns[.]net,ddns[.]net
2022-08-01,194.5.98[.]102,194.5.98[.]0/24
2022-08-01,hostlogsnation[.]duckdns[.]org,duckdns[.]org
2022-08-01,91.192.100[.]11,91.192.100[.]0/22
2022-07-29,judge2020[.]ddns[.]net,ddns[.]net
2022-07-29,197.210.54[.]250,197.210.52[.]0/22
2022-07-29,antitor[.]duckdns[.]org,duckdns[.]org
2022-07-29,20.121.6[.]225,20.64.0[.]0/10
2022-07-29,beilard[.]duckdns[.]org,duckdns[.]org
2022-07-29,31.56.170[.]6,31.56.168[.]0/21
2022-07-29,beilard1[.]ignorelist[.]com,ignorelist[.]com
2022-07-29,sannation[.]duckdns[.]org,duckdns[.]org
2022-07-29,194.5.98[.]178,194.5.98[.]0/24
2022-07-29,ratcentho[.]ddns[.]net,ddns[.]net
2022-07-29,86.219.97[.]216,86.219.0[.]0/16
2022-07-29,4[.]tcp[.]ngrok[.]io,ngrok[.]io
2022-07-29,3.129.187[.]220,3.128.0[.]0/9
2022-07-29,goldresulthsot[.]duckdns[.]org,duckdns[.]org
